edition_a,section_a,edition_b,section_b,relation,method
1997-online-draft,9.10,1.0-errata-2014,9.10,changed,section-number
1997-online-draft,9.11,1.0-errata-2014,9.11,changed,section-number
1997-online-draft,9.12,1.0-errata-2014,9.12,changed,section-number
1997-online-draft,9.13,1.0-errata-2014,9.13,changed,section-number
1997-online-draft,9.14,1.0-errata-2014,9.14,changed,section-number
1997-online-draft,9.15,1.0-errata-2014,9.15,changed,section-number
1997-online-draft,9.16,1.0-errata-2014,9.16,changed,section-number
1997-online-draft,9.17,1.0-errata-2014,9.17,changed,section-number
1997-online-draft,9.2,1.0-errata-2014,9.2,changed,section-number
1997-online-draft,9.3,1.0-errata-2014,9.3,changed,section-number
1997-online-draft,9.4,1.0-errata-2014,9.4,changed,section-number
1997-online-draft,9.5,1.0-errata-2014,9.5,changed,section-number
1997-online-draft,9.6,1.0-errata-2014,9.6,changed,section-number
1997-online-draft,9.7,1.0-errata-2014,9.7,changed,section-number
1997-online-draft,9.8,1.0-errata-2014,9.8,changed,section-number
1997-online-draft,9.9,1.0-errata-2014,9.9,changed,section-number
